"model","eco_fuel","energySource","engine_type","typePrivate"
"Ford Ka, Post 2006 Model Year",0,"Petrol","1.3 Duratec - no AC (13 inch tyre)","Car"
"Ford Kuga Model Year - Post 2009",0,"Petrol","2.0 Duratorq TDCi (136ps) (+DPF)","Car"
"Ford Kuga Model Year - Post 2010",0,"Diesel","2.0 Duratorq TDCi (140ps) (+DPF)","Car"
"Ford Kuga Model Year Post 2011",0,"Diesel","2.0 Duratorq TDCi (140PS) (+DPF)","Car"
"Ford Kuga Model Year Pre 2011",0,"Diesel","2.0 Duratorq TDCi (140PS) (+DPF)","Car"
"Ford Kuga, 2008 Model Year Onwards",0,"Diesel","2.0 Duratorq TDCi (136PS) (+DPF)","Car"
"Ford Kuga, Model Year Post 2010¾",0,"Diesel","2.5 Duratec (200PS)","Car"
"Ford Kuga, Model Year Pre 2010¾",0,"Petrol","2.0 Duratorq TDCi (136PS) (+DPF)","Car"
"Ford Kuga, Post 2009ﾼ Model Year",0,"Petrol","2.0 Duratorq TDCi (136PS) (+DPF)","Car"
"Ford Kuga, Pre 2009ﾼ Model Year",0,"Diesel","2.0 Duratorq TDCi (136PS) (+DPF)","Car"
"Ford Maverick",0,"Petrol","2.0i 16V  Station Wagon","Car"
"Ford Mondeo",0,"Petrol","2.0i 16V Estate (16 inch tyre)","Car"
"Ford Mondeo 2004 Model Year Onwards",0,"Petrol","2.0 Duratorq TDCi (115PS) Estate","Car"
"Ford Mondeo 2004&",0,,,"Car"
"Ford Mondeo 2004ﾽ Model Year Onwards",0,"Petrol","2.0 Duratorq TDCi (115PS) Estate","Car"
"Ford Mondeo Model Year - Post 2010",0,"Diesel","2.0 Duratec (145ps) Estate","Car"
"Ford Mondeo Model Year - Pre 2010",0,"Diesel","1.8 Duratorq TDCi (125ps) Estate","Car"
"Ford Mondeo Model Year Post 2012",0,"Diesel","2.0 Duratorq (163PS) Estate (+DPF)","Car"
"Ford Mondeo Model Year Pre 2012",0,"Diesel","2.0 Duratorq (163PS) Estate (+DPF)","Car"
"Ford Mondeo Pre-2004 Model Year",0,"Petrol","2.0 TDCi (115PS) Estate (16 inch tyre)","Car"
"Ford Mondeo Pre-2004ﾽ Model Year",0,"Petrol","2.0 TDCi (115PS) Estate (16 inch tyre)","Car"
"Ford Mondeo, 2008 Model Year Onwards",0,"Diesel","1.8 Duratorq TDCi (125PS) Estate","Car"
"Ford Mondeo, February 2004 Onwards",0,"Petrol","2.0 Duratorq TDCi (115PS) Estate","Car"
"Ford Mondeo, Model Year Post 2010",0,"Diesel","1.8 Duratorq TDCi (125PS) Estate","Car"
"Ford Mondeo, Model Year Post 2013",0,"Diesel","2.0 Duratorq (163PS) Estate (+DPF)","Car"
"Ford Mondeo, Model Year Pre 2010",0,"Diesel","1.8 Duratorq TDCi (125PS) Estate","Car"
"Ford Mondeo, Model Year Pre 2013",0,"Diesel","2.0 Duratorq (163PS) Estate (+DPF)","Car"
"Ford Mondeo, Post 2009ﾽ Model Year",0,"Diesel","1.8 Duratorq TDCi (125PS) Estate","Car"
"Ford Mondeo, Pre 2009ﾽ Model Year",0,"Diesel","1.8 Duratorq TDCi (125PS) Estate","Car"
"Ford New C-MAX, Model Year Post 2011",0,"Petrol","2.0 Duratorq TDCi (140PS) (+DPF)","Car"
"Ford New C-MAX, Model Year Post 2011½",0,"Petrol","1.6 Duratec GTDi Stop-Start (182PS)","Car"
"Ford New C-MAX, Model Year Post 2011¾",0,"Petrol","1.6 Duratec Ti-VCT (120PS) FFV","Car"
"Ford New Fiesta",0,"Petrol","1.6i 16V (15/16 inch tyre)","Car"
"Ford New Fiesta, Post 2009 Model Year",0,"Petrol","1.4 Duratec (96PS)","Car"
"Ford New Focus",0,"Diesel","1.6 Duratorq TDCi (110PS)","Car"
"Ford New Focus, Model Year Post 2011½",0,"Diesel","2.0 Duratorq TDCi (140PS) 5 Door (+DPF)","Car"
"Ford New Focus, Model Year Post 2011¾",0,"Petrol","1.6 Duratec Ti-VCT (125PS) Saloon & Estate","Car"
"Ford New Galaxy",0,"Petrol","2.3i 16V","Car"
"Ford New Galaxy, March 2006 Onwards",0,"Diesel","1.8 Duratorq (125PS)","Car"
"Ford New Galaxy, Model Year Post 2011¼",0,"Diesel","2.0 Duratorq (163PS) (+DPF)","Car"
"Ford New Galaxy, Model Year Post 2011¾",0,"Petrol","2.0 Duratec (145PS) FFV","Car"
"Ford New Ka, Post 2009ﾽ Model Year",0,"Petrol","1.2 Duratec (69PS)","Car"
"Ford New Kuga, Model Year Post 2013",0,"Diesel","2.0 Duratorq TDCi (140PS) + DPF","Car"
"Ford New Maverick",0,"Petrol","3.0 V6","Car"
"Ford New Mondeo",0,"Petrol","2.5 V6 4/5 Door Saloon Ghia X","Car"
"Ford New Mondeo, May 2007 Onwards",0,"Diesel","1.8 Duratorq TDCi (125PS) Estate","Car"
"Ford New Mondeo, Model Year Post 2011¼",0,"Diesel","2.0 Duatorq (140PS) Estate (+DPF)","Car"
"Ford New S-Max, Model Year Post 2011¼",0,"Diesel","2.0 Duratorq (163PS) (+DPF)","Car"
"Ford New S-Max, Model Year Post 2011¾",0,"Petrol","2.0 Duratec (145PS) FFV","Car"
"Ford New Transit FWD",0,"Diesel","2.0 Diesel (100PS) 4.23 FDR","Car"
"Ford New Transit RWD",0,"Diesel","2.3-DOHC 4.56/4.63 FDR","Car"
"Ford New Transit Tourneo 'Connect' (LWB)",0,"Petrol","1.8 TDCi (90PS)","Car"
"Ford New Transit Tourneo SWB Bus (FWD)",0,"Diesel","2.0 Turbo Diesel (100PS) 4.23 FDR","Car"
"Ford Puma",0,"Petrol","1.7i 16V","Car"
"Ford S-MAX Model Year Post 2012",0,"Diesel","2.0 Duratorq (163PS) (+DPF)","Car"
"Ford S-MAX Model Year Pre 2012",0,"Diesel","2.0 Duratorq (163PS) (+DPF)","Car"
"Ford S-MAX, Model Year Post 2013",0,"Diesel","2.0 Duratorq (163PS) (+DPF)","Car"
"Ford S-MAX, Model Year Pre 2013",0,"Diesel","2.0 Duratorq (163PS) (+DPF)","Car"
"Ford S-Max",0,"Diesel","1.8 Duratorq (125PS)","Car"
"Ford S-Max Model Year - Post 2010",0,"Diesel","2.0 Duratec (145ps)","Car"
"Ford S-Max Model Year - Pre 2010",0,"Diesel","1.8 Duratorq TDCi (125ps)","Car"
"Ford S-Max, 2008 Model Year Onwards",0,"Diesel","2.0 Duratorq TDCi (140PS) (+ DPF)","Car"
"Ford S-Max, Model Year Post 2010",0,"Diesel","2.0 Duratec (145PS)","Car"
"Ford S-Max, Model Year Pre 2010",0,"Diesel","1.8 Duratorq TDCi (125PS)","Car"
"Ford S-Max, Post 2009ﾽ Model Year",0,"Diesel","2.0 Duratorq TDCi (140PS) (+ DPF)","Car"
"Ford S-Max, Pre 2009ﾽ Model Year",0,"Diesel","2.0 Duratorq TDCi (140PS) (+ DPF)","Car"
"Ford Street Ka",0,"Petrol","1.6i","Car"
"Ford Tourneo Connect",0,"Diesel","1.8 TDCi (90PS)","Car"
"Ford Tourneo Connect Model Year - Post 2009",0,"Diesel","1.8 Duratorq (110ps)","Car"
"Ford Tourneo Connect, 2007 Model Year Onwards",0,"Diesel","1.8 Duratorq (110PS)","Car"
"Ford Tourneo Connect, Model Year Post 2009",0,"Diesel","1.8 Duratorq (110PS)","Car"
"Ford Tourneo Connect, Post 2009 Model Year",0,"Diesel","1.8 Duratorq (110PS)","Car"
"Ford Tourneo Connect, Pre 2009 Model Year",0,"Diesel","1.8 Duratorq (110PS)","Car"
"Ford Tourneo Custom 300 LWB Model Year , Post 2013",0,"Diesel","2.2 Duratorq TDCi (100PS)","Car"
"Ford Tourneo Custom 300 SWB Model Year , Post 2013",0,"Diesel","2.2 Duratorq TDCi (100PS)","Car"
"Ford Transit Tourneo SWB Bus",0,"Diesel","2.5 Di Diesel  (76PS) 4.11 FDR","Car"
"Ford Transit Tourneo SWB Bus (FWD)",0,"Diesel","2.0 TDDi 62.5kW (85PS) 4.23 FDR","Car"
"Ford Transit Tourneo SWB Bus (FWD) 2006 Model Year",0,"Diesel","2.2 Duratorq TDCi (110PS)","Car"
"Ford Transit Tourneo SWB Bus (FWD) Model Year - Post 2009",0,"Diesel","2.2 Duratorq TDCI (115ps)","Car"
"Ford Transit Tourneo SWB Bus (FWD), 2006 Model Year Onwards",0,"Diesel","2.2 Duratorq TDCi Diesel (110PS)","Car"
"Ford Transit Tourneo SWB Bus (FWD), Model Year Post 2009½",0,"Diesel","2.2 Duratorq TDCI (115PS)","Car"
"Ford Transit Tourneo SWB Bus (FWD), Post 2009ﾼ Model Year",0,"Diesel","2.2 Duratorq TDCi Diesel (140PS)","Car"
"Ford Transit Tourneo SWB Bus (FWD), Pre 2009ﾼ Model Year",0,"Diesel","2.2 Duratorq TDCi Diesel (110PS)","Car"
"Honda Accord 06 Saloon",0,"Petrol","2.0 i-VTEC SE","Car"
"Honda Accord 06 Tourer",0,"Petrol","2.0 i-VTEC SE","Car"
"Honda Accord 4 Door",0,"Petrol","2.0 i-VTEC SE","Car"
"Honda Accord 4 Door (2000 YM)",0,"Petrol","1.8i VTEC S","Car"
"Honda Accord 4 Door (2001 YM)",0,"Petrol","1.8i VTEC S","Car"
"Honda Accord 4 Door (2002 YM)",0,"Petrol","1.8i VTEC S","Car"
"Honda Accord 4 Door (2003 YM)",0,"Petrol","2.0 i-VTEC SE","Car"
"Honda Accord 4 Door (up to 2002 YM)",0,"Petrol","1.8i VTEC S","Car"
"Honda Accord 5 Door (2000 YM)",0,"Petrol","1.8i VTEC S","Car"
"Honda Accord 5 Door (2001 YM)",0,"Petrol","1.8i VTEC S","Car"
"Honda Accord 5 Door (2002 YM)",0,"Petrol","1.8i VTEC S","Car"
"Honda Accord 5 Door (up to 2002 YM)",0,"Petrol","1.8i VTEC S","Car"
"Honda Accord Coup&",0,,,"Car"
"Honda Accord Coupé (2000 YM)",0,"Petrol","2.0i ES Coupé","Car"
"Honda Accord Coupé (2001 YM)",0,"Petrol","2.0i ES Coupé","Car"
"Honda Accord Model Year 2010",0,"Diesel","2.0 i-VTEC ES GT Saloon","Car"
"Honda Accord Saloon Model Year 2011",0,"Petrol","2.4 i-VTEC EX","Car"
"Honda Accord Saloon Model Year 2012",0,"Petrol","2.0 i-VTEC EX","Car"
"Honda Accord Saloon Model Year 2013",0,"Petrol","2.4 i-VTEC EX","Car"
"Honda Accord Saloon, Model Year 2011",0,"Petrol","2.0 i-VTEC EX","Car"
"Honda Accord Saloon, Model Year 2012",0,"Petrol","2.0 i-VTEC EX","Car"
"Honda Accord Saloon, Model Year 2013",0,"Diesel","2.4 i-VTEC EX","Car"
"Honda Accord Tourer",0,"Petrol","2.0 i-VTEC SE","Car"
"Honda Accord Tourer (2003 YM)",0,"Petrol","2.0 i-VTEC SE","Car"
"Honda Accord Tourer Model Year 2011",0,"Petrol","2.4 i-VTEC EX","Car"
"Honda Accord Tourer Model Year 2012",0,"Diesel","2.4 i-VTEC EX","Car"
"Honda Accord Tourer Model Year 2013",0,"Petrol","2.4 i-VTEC EX","Car"
"Honda Accord Tourer, Model Year 2011",0,"Diesel","2.4 i-VTEC EX","Car"
"Honda Accord Tourer, Model Year 2012",0,"Diesel","2.4 i-VTEC EX","Car"
"Honda Accord Tourer, Model Year 2013",0,"Diesel","2.4 i-VTEC EX","Car"
"Honda Accord, Model Year 2010",0,"Diesel","2.0 i-VTEC ES GT Saloon","Car"
"Honda CR-V",0,"Petrol","2.0 i-VTEC SE","Car"
"Honda CR-V (2000 YM)",0,"Petrol","2.0i ES","Car"
"Honda CR-V (2001 YM)",0,"Petrol","2.0i ES","Car"
"Honda CR-V (2002 YM)",0,"Petrol","2.0 i-VTEC SE","Car"
"Honda CR-V (up to 2001 YM)",0,"Petrol","2.0i ES","Car"
"Honda CR-V 07",0,"Petrol","ES","Car"
"Honda CR-V Model Year 2009",0,"Petrol","2.0 i-VTEC ES 5 Door","Car"
"Honda CR-V Model Year 2011",0,"Petrol","2.2 i-DTEC ES ES-T EX SE SE-T","Car"
"Honda CR-V Model Year 2012",0,"Petrol","2.0 i-VTEC ES ES-T EX SE+ SE+T","Car"
"Honda CR-V, Model Year 2011",0,"Petrol","2.0 i-VTEC ES, ES-T, EX, SE, SE-T","Car"
"Honda CR-V, Model Year 2012",0,"Petrol","2.0 i-VTEC ES, ES-T, EX, SE+, SE+T","Car"
"Honda CR-V, Model Year 2013",0,"Petrol","2.0 i-VTEC EX, SR","Car"
"Honda CR-Z Model Year 2011",0,"Petrol Hybrid","1.5 IMA S Sport GT","Car"
"Honda CR-Z Model Year 2012",0,"Petrol Hybrid","1.5 IMA S Sport GT","Car"
"Honda CR-Z, Model Year 2011",0,"Petrol Hybrid","1.5 IMA S Sport GT","Car"
"Honda CR-Z, Model Year 2012",0,"Petrol","1.5 IMA S, Sport, GT","Car"
"Honda CR-Z, Model Year 2013",0,"Petrol","1.5 IMA GT, GT-T","Car"
"Honda Civic 06",0,"Petrol","1.4 i-DSI SE","Car"
"Honda Civic 1.7 Diesel",0,"Diesel","1.7 SE 3 Door","Car"
"Honda Civic 1.7 Diesel (2002 YM)",0,"Diesel","1.7 SE 3 Door","Car"
"Honda Civic 3 Door",0,"Petrol","1.6i VTEC SE","Car"
"Honda Civic 3 Door (2000 YM)",0,"Petrol","1.4i SE","Car"
"Honda Civic 3 Door (2001 YM)",0,"Petrol","1.6i VTEC SE","Car"
"Honda Civic 3 Door (2002 YM)",0,"Diesel","3 Door 1.7 SE","Car"
"Honda Civic 3 door Model Year 2011",0,"Petrol","1.4 i-VTEC Type S Type S-T","Car"
"Honda Civic 3 door, Model Year 2011",0,"Petrol","1.4 i-VTEC Type S, Type S-T","Car"
"Honda Civic 4 Door",0,"Petrol Hybrid","IMA Executive","Car"
"Honda Civic 4 door",0,"Petrol Hybrid","IMA SE Executive","Car"
"Honda Civic 5 Door",0,"Petrol","1.4i SE","Car"
"Honda Civic 5 Door (2000 YM)",0,"Petrol","1.4i S","Car"
"Honda Civic 5 Door (2001 YM)",0,"Petrol","1.4i SE","Car"
"Honda Civic 5 Door (2002 YM)",0,"Diesel","5 Door S","Car"
"Honda Civic 5 door Model Year 2011",0,"Petrol","1.8 i-VTEC Ci Ci-T ES ES-T EX GT Si Si-T","Car"
"Honda Civic 5 door Model Year 2012",0,"Petrol","1.8 i-VTEC EX GT","Car"
"Honda Civic 5 door, Model Year 2011",0,"Petrol","1.4 i-VTEC Ci Ci-T SE SE-T Si Si-T Ti","Car"
"Honda Civic 5 door, Model Year 2012",0,"Petrol","1.8 i-VTEC EX GT","Car"
"Honda Civic Aero Deck (2000 YM)",0,"Petrol","1.6i VTEC SE","Car"
"Honda Civic Coup&",0,,,"Car"
"Honda Civic Coupé (2000 YM)",0,"Petrol","1.6i Sport","Car"
"Honda Civic Coupé (2001 YM)",0,"Petrol","1.7i VTEC","Car"
"Honda Civic Coupé (2002 YM)",0,"Petrol","1.7i VTEC","Car"
"Honda Civic Hybrid",0,"Petrol","1.4 IMA ES","Car"
"Honda Civic Hybrid Model Year 2009",0,"Petrol Hybrid","1.4 IMA ES Leather Saloon","Car"
"Honda Civic Hybrid Model Year 2010",0,"Petrol Hybrid","1.4 IMA ES Leather Saloon","Car"
"Honda Civic Hybrid, Model Year 2010",0,"Petrol Hybrid","1.4 IMA ES Leather Saloon","Car"
"Honda Civic Model Year 2009",0,"Petrol","1.4 i-VTEC","Car"
"Honda Civic Model Year 2010",0,"Petrol","1.4 i-VTEC","Car"
"Honda Civic Type R",0,"Petrol","2.0 i-VTEC Type R","Car"
"Honda Civic Type S",0,"Petrol","1.8 i-VTEC S","Car"
"Honda Civic, Model Year 2010",0,"Petrol","1.4 i-VTEC SE 5 door","Car"
"Honda Civic, Model Year 2013",0,"Petrol","1.8 i-VTEC EX GT","Car"
"Honda FR-V",0,"Petrol","2.0 i-VTEC SE","Car"
"Honda FR-V 07",0,"Petrol","ES","Car"
"Honda HONDA S2000",0,"Petrol","Convertible","Car"
"Honda HONDA S2000 (2000 YM)",0,"Petrol","Convertible","Car"
"Honda HONDA S2000 (2001 YM)",0,"Petrol","Convertible","Car"
"Honda HONDA S2000 (2002 YM)",0,"Petrol","Convertible","Car"
"Honda HR-V",0,"Petrol","HR-V 4wd 5 Door","Car"
"Honda HR-V (2000 YM)",0,"Petrol","HR-V 4wd 3 door","Car"
"Honda HR-V (2001 YM)",0,"Petrol","HR-V 4wd (3 Door)","Car"
"Honda HR-V (2002 YM)",0,"Petrol","HR-V 4wd (3 Door)","Car"
"Honda Insight",0,"Petrol","Insight","Car"
"Honda Insight (2000 YM)",0,"Petrol","Insight","Car"
"Honda Insight (2001 YM)",0,"Petrol","Insight","Car"
"Honda Insight Model Year 2010",0,"Petrol Hybrid","1.3 IMA ES 5 door","Car"
"Honda Insight Model Year 2011",0,"Petrol Hybrid","1.3 IMA ES ES-T EX","Car"
"Honda Insight Model Year 2012",0,"Petrol Hybrid","1.3 IMA HE HE-T","Car"
"Honda Insight, Model Year 2010",0,"Petrol Hybrid","1.3 IMA ES 5 door","Car"
"Honda Insight, Model Year 2011",0,"Petrol Hybrid","1.3 IMA ES, ES-T, EX","Car"
"Honda Insight, Model Year 2012",0,"Petrol Hybrid","1.3 IMA HE, HE-T","Car"
"Honda Insight, Model Year 2013",0,"Petrol Electric","1.3 IMA HE, HE-T","Car"
"Honda Integra (2000YM)",0,"Petrol","Type - R","Car"
"Honda Jazz",0,"Petrol","1.4 i-DSI SE","Car"
"Honda Jazz (2002 YM)",0,"Petrol","1.4 i-DSI SE","Car"
"Honda Jazz Model Year 2009",0,"Petrol","1.4 i-VTEC ES 5 Door","Car"
"Honda Jazz Model Year 2011",0,"Petrol","1.4 i-VTEC EX EX-T","Car"
"Honda Jazz Model Year 2012",0,"Petrol","1.4 i-VTEC ES ES-T","Car"
"Honda Jazz Model Year 2013",0,"Petrol","1.4 i-VTEC ES ES-T","Car"
"Honda Jazz, Model Year 2011",0,"Petrol","1.4 i-VTEC EX, EX-T","Car"
"Honda Jazz, Model Year 2012",0,"Petrol","1.4 i-VTEC ES, ES-T","Car"
"Honda Jazz, Model Year 2013",0,"Petrol","1.4 i-VTEC ES, ES-T","Car"
"Honda Legend",0,"Petrol","3.5 V6 4 Door","Car"
"Honda Legend (2000 YM)",0,"Petrol","3.5 V6 (4 Door)","Car"
"Honda Legend (2001 YM)",0,"Petrol","3.5 V6 (4 Door)","Car"
"Honda Legend (2002 YM)",0,"Petrol","3.5 V6 (4 Door)","Car"
"Honda Logo (2000 YM)",0,"Petrol","Logo","Car"
"Honda NSX",0,"Petrol","3.0i Coupé","Car"
"Honda NSX (2000 YM)",0,"Petrol","Coupé","Car"
"Honda NSX (2001 YM)",0,"Petrol","Coupé","Car"
"Honda NSX (2002 YM)",0,"Petrol","3.0i Coupé","Car"
"Honda Prelude (2000 YM)",0,"Petrol","2.2i VTI","Car"
"Honda S2000",0,"Petrol","2.0 i-VTEC GT","Car"
"Honda STREAM",0,"Petrol","2.0i SE SPORT","Car"
"Honda STREAM (2001 YM)",0,"Petrol","2.0i SE SPORT","Car"
"Honda Shuttle (2000 YM)",0,"Petrol","2.3i ES","Car"
"Hummer H3",0,"Petrol","3.7","Car"
"Hummer H3, MY2007",0,"Petrol","3.7","Car"
"Hummer H3, MY2008",0,"Petrol","3.7","Car"
"Hyundai Accent",0,"Petrol","1.3 SOHC","Car"
"Hyundai Accent 2003MY Facelift",0,"Petrol","1.6l DOHC","Car"
"Hyundai Amica",0,"Petrol","1.1l CDX","Car"
"Hyundai Atoz",0,"Petrol","Atoz","Car"
"Hyundai Coupé",0,"Petrol","2.0l","Car"
"Hyundai Elantra",0,"Petrol","1.6 DOHC","Car"
"Hyundai Getz",0,"Petrol","1.4l DOHC","Car"
"Hyundai Grandeur",0,"Petrol","3.3l V6","Car"
"Hyundai Lantra",0,"Petrol","1.6 DOHC","Car"
"Hyundai Matrix",0,"Petrol","1.6l DOHC","Car"
"Hyundai New Santa Fe",0,"Diesel","2.2l CRTD (5 seat)","Car"
"Hyundai New Sonata",0,"Petrol","2.4l","Car"
"Hyundai Santa Fe",0,"Diesel","2.0l CRTD","Car"
"Hyundai Santa Fe, From October 2012",0,"Diesel","2.2l CRDi 4WD","Car"
"Hyundai Sonata",0,"Petrol","2.0l","Car"
"Hyundai Terracan",0,"Diesel","2.9l CRTD 4WD","Car"
"Hyundai Trajet",0,"Petrol","2.0l DOHC","Car"
"Hyundai Tucson",0,"Diesel","2.0l CRTD 4x2","Car"
"Hyundai Veloster",0,"Petrol","1.6l Turbo","Car"
"Hyundai XG",0,"Petrol","3.0 DOHC","Car"
"Hyundai i10",0,"Petrol","1.2l DOHC","Car"
"Hyundai i20",0,"Petrol","1.4l (15' wheels)","Car"
"Hyundai i20 2012 Facelift",0,"Petrol","1.2l","Car"
"Hyundai i20, 2012 Facelift",0,"Petrol","1.2l","Car"
"Hyundai i30",0,"Petrol","1.6l DOHC","Car"
"Hyundai i30 Estate",0,"Petrol","1.6l DOHC","Car"
"Hyundai i30 Tourer",0,"Diesel","1.6l DOHC","Car"
"Hyundai i30 from March 2012",0,"Diesel","1.6l DOHC","Car"
"Hyundai i30, from March 2012",0,"Diesel","1.6l DOHC","Car"
"Hyundai i40",0,"Petrol","1.6l GDi (16' wheels)","Car"
"Hyundai i40 From September 2011",0,"Diesel","1.7l CRDi","Car"
"Hyundai i40, From September 2011",0,"Diesel","1.6l GDi (16' wheels)","Car"
"Hyundai i800",0,"Diesel","2.5l CRTD","Car"
"Hyundai ix20",0,"Petrol","1.6l DOHC","Car"
"Hyundai ix35",0,"Diesel","2.0l CRDi 4x4 (17' wheels)","Car"
"Infiniti EX 2010",0,"Diesel","3.0 D","Car"
"Infiniti EX Model Year 2010",0,"Diesel","3.0 D","Car"
"Infiniti EX, 2013",0,"Petrol","EX30D","Car"
"Infiniti EX37",0,"Petrol","EX37 4WD","Car"
"Infiniti EX37 2009",0,"Petrol","EX37 4WD","Car"
"Infiniti EX37 Model Year 2009",0,"Petrol","EX37 4WD","Car"
"Infiniti FX",0,"Petrol","FX37 4WD","Car"
"Infiniti FX 2009",0,"Petrol","FX37 4WD","Car"
"Infiniti FX 2011",0,"Diesel","FX30D","Car"
"Infiniti FX Model Year 2009",0,"Petrol","FX37 4WD","Car"
"Infiniti FX Model Year 2011",0,"Diesel","FX30D","Car"
"Infiniti FX, 2013",0,"Petrol","FX30D","Car"
"Infiniti G37",0,"Petrol","G37 Convertible","Car"
"Infiniti G37 2009",0,"Petrol","G37 Convertible","Car"
"Infiniti G37 Model Year 2009",0,"Petrol","G37 Convertible","Car"
"Infiniti G37, 2013",0,"Petrol","G37 Cabrio","Car"
"Infiniti M 2010",0,"Petrol","Y514 DDOR","Car"
"Infiniti M Model Year 2010",0,"Petrol","Y514 DDOR","Car"
"Infiniti M, 2013",0,"Petrol","M","Car"
"Isuzu Trooper",0,"Petrol","3.0 Turbo 4WD Diesel","Car"
"Isuzu Trooper (2002 Model Year)",0,"Petrol","3.0 TD 4WD (Except Insignia Model)","Car"
"Jaguar Cars Daimler Super 8",0,"Petrol","4.0","Car"
"Jaguar Cars Daimler V8",0,"Petrol","4.0","Car"
"Jaguar Cars F-Type S, Model Year 2013",0,"Petrol","3.0L V6 (380PS) Supercharged Convertible","Car"
"Jaguar Cars F-Type V8 S, Model Year 2013",0,"Petrol","5.0L V8 (495PS) Supercharged Convertible","Car"
"Jaguar Cars F-Type, Model Year 2013",0,"Petrol","3.0L V6 (340PS) Supercharged Convertible","Car"
"Jaguar Cars Jaguar 'S' Type",0,"Petrol","3.0","Car"
"Jaguar Cars Jaguar X Type",0,"Petrol","3.0","Car"
"Jaguar Cars Jaguar XJ8",0,"Petrol","4.0","Car"
"Jaguar Cars Jaguar XJR",0,"Petrol","4.0","Car"
"Jaguar Cars Jaguar XK8",0,"Petrol","Convertible","Car"
"Jaguar Cars Jaguar XKR",0,"Petrol","Convertible","Car"
"Jaguar Cars New 'S' Type",0,"Petrol","2.5 Saloon","Car"
"Jaguar Cars S Type",0,"Petrol","2.7L Diesel Saloon","Car"
"Jaguar Cars Sovereign",0,"Petrol","4.0","Car"
"Jaguar Cars X Type",0,"Petrol","3.0L Saloon","Car"
"Jaguar Cars XF",0,"Petrol","TDV6 cDPF","Car"
"Jaguar Cars XF Saloon, Model Year 2013",0,"Diesel","2.0L GTDI","Car"
"Jaguar Cars XF Sportbrake, Model Year 2013",0,"Diesel","2.2L TDI4 (163 & 200PS) with ECO tyres","Car"
"Jaguar Cars XFR & XFR-S Saloon, Model Year 2013",0,"Petrol","5.0L V8 Supercharged","Car"
"Jaguar Cars XJ",0,"Petrol","2.7L Diesel Saloon","Car"
"Jaguar Cars XJ 2010 Model Year",0,"Petrol","3.0L Long wheel base","Car"
"Jaguar Cars XJ Executive",0,"Petrol","4.0","Car"
"Jaguar Cars XJ Model Year 2010",0,"Petrol","5.0L V8","Car"
"Jaguar Cars XJ Sport",0,"Petrol","4.0","Car"
"Jaguar Cars XJ Super V8",0,"Petrol","4.2L 'R' Saloon","Car"
"Jaguar Cars XJ Supersport Model Year 2010",0,"Petrol","5.0L V8 Supercharged","Car"
"Jaguar Cars XJ Supersport, Model Year 2010",0,"Petrol","5.0L V8 Supercharged","Car"
"Jaguar Cars XJ Supersport, Model Year 2013",0,"Petrol","5.0L V8 Supercharged SWB & LWB","Car"
"Jaguar Cars XJ Ultimate, Model Year 2013",0,"Petrol","5.0L V8 Supercharged LWB","Car"
"Jaguar Cars XJ, Model Year 2010",0,"Petrol","5.0L V8","Car"
"Jaguar Cars XJ, Model Year 2013",0,"Petrol","2.0L GTDI SWB & LWB","Car"
"Jaguar Cars XJL Model Year 2010",0,"Diesel","3.0L TDV6 long wheel base","Car"
"Jaguar Cars XJL, Model Year 2010",0,"Diesel","3.0L TDV6 long wheel base","Car"
"Jaguar Cars XJR",0,"Petrol","Saloon","Car"
"Jaguar Cars XK",0,"Petrol","3.5L Convertible","Car"
"Jaguar Cars XK, Model Year 2013",0,"Petrol","5.0L V8 Coupé & Convertible","Car"
"Jaguar Cars XK8",0,"Petrol","Convertible","Car"
"Jaguar Cars XKR",0,"Petrol","Convertible","Car"
"Jaguar Cars XKR & XKR-S, Model Year 2013",0,"Petrol","5.0L V8 Supercharged Coupé & Convertible","Car"
"Jaguar Cars XKR8",0,"Petrol","5.0L Supercharged Convertible","Car"
"Jaguar Cars XKR8 & XKRS II",0,"Petrol","5.0L Supercharged Convertible","Car"
"Kia Carens",0,"Diesel","2","Car"
"Kia Carens (2000 Model Year)",0,"Petrol","1.8","Car"
"Kia Carens (2001 Model Year)",0,"Petrol","1.8","Car"
"Kia Carens 2003 Model Year",0,"Petrol","2.0","Car"
"Kia Cerato",0,"Petrol","1.6 5-door","Car"
"Kia Clarus",0,"Petrol","2.0","Car"
"Kia Magentis",0,"Petrol","2.0 CRDi","Car"
"Kia Magentis 2003 Model Year",0,"Petrol","2.0","Car"
"Kia Magentis Face Lift",0,"Diesel","2.0 CRDi","Car"
"Kia Mentor II",0,"Petrol","1.5 S/SX","Car"
"Kia New Carens",0,"Diesel","'1' 1.6 GDi 133bhp ISG 7 seat","Car"
"Kia New Mentor",0,"Petrol","1.6","Car"
"Kia New Sorento",0,"Diesel","2.2 CRDi 4WD","Car"
"Kia New cee'd",0,"Petrol","'1' 1.4 CRDi 89bhp 6-speed manual","Car"
"Kia New cee'd SW",0,"Diesel","'4' 1.6 CRDi 126bhp ISG","Car"
"Kia New pro_cee'd",0,"Petrol","'GT' 1.6 T-GDi 201bhp 6-speed manual","Car"
"Kia Optima",0,"Diesel","'1' 1.7 CRDi 134bhp 6-speed manual ISG","Car"
"Kia Picanto",0,"Petrol","1.1","Car"
